basketball-links.csv: 6929 , broken urls: 0
football-links.csv: 35811 , broken urls: 0
americanfootball-links.csv: 32222 , broken urls: 0
cricket-links.csv: 7035 , broken urls: 0
hockey-links.csv: 12816 , broken urls: 0
golf-links.csv: 374 , broken urls: 0
rugbyunion-links.csv: 390 , broken urls: 0
rugby-links.csv: 110 , broken urls: 0
baseball-links.csv: 240 , broken urls: 0
martialarts-links.csv: 178 , broken urls: 0
boxing-links.csv: 574 , broken urls: 0
mixedmartialarts-links.csv: 2756 , broken urls: 0
fitness-links.csv: 225 , broken urls: 0
cycling-links.csv: 192 , broken urls: 0
badminton-links.csv: 45 , broken urls: 0
gymnastics-links.csv: 4688 , broken urls: 0
handball-links.csv: 146 , broken urls: 0
skiing-links.csv: 72 , broken urls: 0
horse_racing-links.csv: 41 , broken urls: 0
f1-links.csv: 7532 , broken urls: 0
baseball-links.csv: 11944 , broken urls: 0
