qa_id,question,answer,context,is_question_valid,is_answer_correct
206983597679580609670033481665655671305,Who is Denis McBride?,,"Ulster: 1. Davy Millar (Dungannon), 2. J. McDonald (Malone), 3. G. Bell (Instonians), 4. Paddy Johns (Dungannon), 5. Davy Tweed (Ballymena), 6. Stephen McKinty (Bangor), 7. Denis McBride (Malone, c), 8. Brian Robinson (Ballymena), 9. Ashley Blair (Dunganno",,
105776980487557571225316169434151169756,What happened in 1985?,,All events that happened in 1985: Rugby Union related events[] Deaths[] Real world events[] This article or section is a stub. You can help by expanding it.,,
170149059832414853266731095069573129805,What is a stub?,This article or section,All events that happened in 1969: Rugby Union related events[] Deaths[] Real world events[] This article or section is a stub. You can help by expanding it.,,
25528126750335000630168758983171257517,Who was the player that played for the club?,,uth Africa. Clubs[] Notable players[] Template:Incomplete list Zinzan Brooke Robin Brooke Anthony Seiuli Olo Brown Adrian Cashmore Eroni Clarke Justin Collins Lachie Munro Steve Devine John Drake Nick Evans [1] Sean Fitzpatrick Grant Fox Andy Haden Patrick,,
235775649505621257600740744074898277275,How many points did it take to win the final?,,"an and Tongan footballers). He scored a try for Biarritz in the 2005-06 Heineken Cup final against Munster, though Biarritz eventually lost the final 23 points to 19. However, Biarritz made it to the final of the 2005-06 Top 14 as well, and were victorious",,
314912211841483966226205446058062843397,When was the Professional era?,1995-1," Scrum-halves 3.6 Fly-halves 3.7 Centres 3.8 Back three 4 2021-22 Academy 5 Links 2021-22 coaching team[] Leo Cullen, head coach Felipe Contepomi, assistant coach Emmet Farrell, kicking coach & head analyst History[] Amateur era[] Professional era[] 1995-1",,
148815725839525310619084576791129610422,Invalid ref> tag; no text was provided for refs named Broadcasting1?,,error: Invalid <ref> tag; no text was provided for refs named Broadcasting1,,
233421258789460024831881747175279022125,What is the name of the box?,,<createbox> bgcolor=#ffffff </createbox>,,
29818047541299114281729035591780851007,How can you help improve this article?,expanding it,All events that happened in 1966: Rugby Union related events[] Deaths[] Real world events[] This article or section is a stub. You can help by expanding it.,,
170362330222634687519916758808385788647,What is the name of the back three?,Adam Byrne, Scrum-halves[] Jamison Gibson-Park Nick McCarthy Luke McGrath Fly-halves[] Harry Byrne Ross Byrne Jonathan Sexton Centres[] Ciaran Frawley David Hawkshaw Robbie Henshaw Conor O'Brien Tommy O'Brien Rory O'Loughlin Garry Ringrose Back three[] Adam Byrne Dav,,
132824856934443658571240027186642434680,When was Nasonis Rokoiau born?,29 November 1979,"}} Nasoni Rokobiau, born 29 November 1979, in Vunidawa, Fiji is a rugby union player. Rokobiau has represented Fiji in their Rugby Sevens team, as well as Fiji 'A' in the 15 man form of the game. He has played Sevens for Fiji since 2002, representing his c",,
44570116871045833233320370272224314514,Who is the head coach of Ulster?,Dan McFarland,"Previous season | Next season In Dan McFarland's fourth season as head coach, Ulster are competing in the United Rugby Championship and the Heineken Cup. Contents 1 Coaching team 2 Squad 3 Academy 4 Pre-season 5 Season Coaching team[] Dan McFarland, head c",,
286419973927365145567199505652401587919,Who is the head coach of the team?,Dan Soper,"an McFarland, head coach Dan Soper, assistant coach Jared Payne, defence coach Roddy Grant, forwards coach Craig Newby, skills coach Squad[] Players in italics are in the squad but have not yet played this season. Loosehead prop: Andrew Warwick, Eric O'Sul",,
262241925898790382993637958864721888177,Who is a loosehead prop?,,"an McFarland, head coach Dan Soper, assistant coach Jared Payne, defence coach Roddy Grant, forwards coach Craig Newby, skills coach Squad[] Players in italics are in the squad but have not yet played this season. Loosehead prop: Andrew Warwick, Eric O'Sul",,
12723847997929212595224212111161039481,What color is the club's jersey?,,e in European rugby competitions and were runners-up in the European Shield in 2004. Viadana plays in yellow and black. The club did not compete professionally between 2010-2012 as they focused their efforts on Aironi. Aironi was based at Viadana's home gr,,
138707378909432949331960132264003238592,How many personal life questions do you have?,, 5 Personal life 6,,
32515516017277402406349698172807282623,Who is the Scrum-half?,"Nathan Doak, John Cooney, Dave Shanahan","rmeulen, Nick Timoney Scrum-half: Nathan Doak, John Cooney, Dave Shanahan Out-half: Billy Burns, Michael Lowry, Ian Madigan Left wing: Ethan McIlroy, Jacob Stockdale Inside centre: Stuart McCloskey, Stewart Moore Outside centre: James Hume, Angus Curtis, S",,
198331992627842262664287148948283212502,What is Brian Rigney's profession?,,"rryowen), 15. Pat Murray (Shannon). Leinster: 1. H. Hurley (Old Wesley), 2. Shane Byrne (Blackrock), 3. Angus McKeen (Lansdowne), 4. Brian Rigney (Greystones), 5. Neil Francis (Old Belvedere), 6. K. Potts (St. Mary's), 7. R. Love (Old Wesley), 8. Phil Lawl",,
277206039068846332292639194086961384421,What year was Rugby Union related events?,1981,All events that happened in 1981: Rugby Union related events[] Deaths[] Real world events[] This article or section is a stub. You can help by expanding it.,,
