qa_id,question,answer,context,is_question_valid,is_answer_correct
266342470207632044584589666814633698082,Where is the stadium located?,"Franklin, IN","2024 Franklin Grizzlies Head Coach: Alan Hensell (5th season) Stadium: Stewart ""Red"" Faught Stadium, Franklin, IN Record: 3-7 Previous: 2023 Next: 2025 Schedule/Results[]",,
158086915014850238761820148360180337240,What is the name of the Hawks football team?,Shorter Hawks,"The Shorter Hawks football team represents Shorter University located in Rome, Georgia. Shorter's first varsity season was in 2005 as a member of the NAIA Mid-South Conference. Currently the Hawks are a member of the NCAA Division II Gulf South Conference,",,
62567533221060033504499197650302614904,What is Mike Cerasuolo's first season?,,"2023 Springfield Pride Head Coach: Mike Cerasuolo (8th season) Stadium: Stagg Field, Springfield, MA Record: 9-2 Previous: 2022 Next: 2024 Schedule/Results[]",,
159981049519393398404811559803535001402,Where was he born in 1989?,"Denver, Colorado","Jared Quay Campbell (born August 30th, 1989) is an American stand-up comedian, host, writer and former football player. He was born Denver, Colorado. He's worked on shows such as FX The League,[1] NFL Network, and CBS Thursday Night Football pre-show. As w",,
107458157093618611583499052019722068905,How can you help American Football Wiki?,expanding it,"This article is a stub. You can help American Football Wiki by expanding it. Orlando Brown Jr. (center), taking a photo with the former Sooners during a game against the Browns (Mayfield and Seibert) in 2019 Orlando Claude Brown Jr. (born May 2, 1996) is a",,
195573589991332519258070459709732567691,What is the name of the Bowl?,Rose Bowl," (3) - @ Rose Bowl, Pasadena, CA",,
73561773465786550571476754059595499088,How many regular season games are there?,,ed the playoffs. Contents 1 Offseason 1.1 NFL Draft 2 Preseason 2.1 Schedule 3 Regular season 3.1 Schedule 3.2 Standings 4,,
211161494992221157175128171687977246843,When did the Owls go 7-4?,1990," for almost twenty years in 1990, when the Owls went 7-4. Temple joined the Big East Conference in 1991, but had difficulty competing against teams with better facilities and bigger budgets. The Owls would not win a conference game until 1995. In 1998, the",,
150399797013473786746044828681313937209,Where does the Brown Bears football team play?,Brown Stadium,"The Brown Bears football team represents Brown University located in Providence, Rhode Island. The Bears are a member of the NCAA FCS Ivy League and play their home games at Brown Stadium in Providence. The Bears are currently coached by James Perry. Conte",,
49796374011655802175710383909318796759,What year did Temple not win a conference game?,1995," for almost twenty years in 1990, when the Owls went 7-4. Temple joined the Big East Conference in 1991, but had difficulty competing against teams with better facilities and bigger budgets. The Owls would not win a conference game until 1995. In 1998, the",,
