qa_id,question,answer,context,is_question_valid,is_answer_correct
257885137943892985629465045410201377080,When did the season end?,July 30,"also withdrew, the season was terminated July 30. 1895 unknown",,
130567908728251389785221927283386700038,Where was Jimmy Austin born?,"Swansea, Wales","Jimmy Austin baseball card James Phillip ""Jimmy"" Austin (December 8, 1879 - March 6, 1965) was a professional baseball player and coach. Austin was born in Swansea, Wales, the son of a shipbuilder. He was one of only two Major League ballplayers to be born",,
332511544735223333330055038318137944225,Who was the only three-time winner of the award?,cago White Sox,"cago White Sox, 1983 and Oakland Athletics in 1988 and 1992) as the only three-time winner of the award. 2001 - After exercising Omar Daal's $4.5 million contract option for 2002 yesterday, the Phillies trade the left hander pitcher to the Dodgers for two ",,
37240562772104375396009283831317977,When is the first game of the series played?,,71-50) Series #40: vs. Mariners[] #122: Fri 8/20 at 8:10pm; W 12-3 [MLB.com] [YouTube] [Reference] [Savant] (72-50) #123: Sat 8/21 at 7:10pm; W 15-1 [MLB.com] [YouTube] [Reference] [Savant] (73-50) #124: Sun 8/22 at 2:10pm; L 3-6 (11) [MLB.com] [YouTube] [,,
178476897120571604169756988522124315420,What was the name of the Independent League?,Departmental League,"Departmental League was an Independent League 1895 Washington-Army&Navy, Washington-City Post Office, Washington-District Commissioner, Washington-Printing Office, Washington-Post Office, Washington-Treasury 1907 Unknown 1908 Washington-Agriculture. Washin",,
175708231989151743210029970193065644336,At what time did PIT play at STL?,7:45pm,[YouTube] [Reference] [Savant] PIT @ STL 7:45pm; STL 8-5 [MLB.com] [YouTube] [Reference] [Savant] NYY @ TEX 8:05pm; NYY 2-0 [MLB.com] [YouTube] [Reference] [Savant] CLE @ LAA 8:07pm; CLE 3-2 [MLB.com] [YouTube] [Reference] [Savant] MIL @ KC (Interleague) 8,,
142979827469324431168539994072152867201,Who is a former Tigers teammate?,Willie Horton,"dered one of the greatest players ever for the Tigers' opponents that day, the Kansas City Royals. Since 2003, Kaline has served as a Special Assistant to Tigers President/CEO/General Manager Dave Dombrowski. Former Tigers teammate Willie Horton also holds",,
106594072455493338070727624770679033416,How many hits did Ichiro Suzuki have as of 4/20/2023?,3095,"000 Hit Club. However, as he is at 3095 hits as of 4/20/2023 and retiring after the 2023 season, it seems unlikely. Highlights[] On August 21, 2013, Ichiro Suzuki got his 4000th hit, joining Cobb and Rose in the exclusive club. On September 11, 1985, Rose ",,
339981132515672469141196045312634123381,What is the name of the official team site?,,gan. External Links[] Official team site,,
24806136689553534617621144565287071380,What was Cobb's record?,,"mber 11, 1985, Rose joined a group of his own hitting his 4,192nd hit, surpassing Cobb's 57-year old record. The members[]",,
81974076639115931893503689614374551905,Where does SD play at MIL?,,ouTube] [Reference] [Savant] ATL @ BOS (Interleague) 7:10pm; ATL 3-1 [MLB.com] [YouTube] [Reference] [Savant] BAL @ MIN 7:40pm; MIN 7-4 [MLB.com] [YouTube] [Reference] [Savant] SD @ MIL 7:40pm; SD 7-1 [MLB.com] [YouTube] [Reference] [Savant] LAD @ HOU (Int,,
325389706670269837136939564828017765337,What does BOLD mean?,Unknown Location,"airforest SC, Holston Creek SC, Inman SC, Monarch SC, Pacolet SC, Spartanburg-Palmetto Produce SC, Woodruff SC NOTE 1 - BOLD means Unknown Location if any one has any information on this league, add to this website and email me at bearhunters_alpha46@msn.c",1,
196292011825110933214146609672731096550,When did the Astros win Game 6 at home?,Fri 10/22,"] [HOU2] [HOU3] (Astros lead series, 3-2) Game 6 at home on Fri 10/22 at 8:08pm (FS1); W 5-0 [MLB.com] [YouTube] [Reference] [Savant] [HOU1] [HOU2] [HOU3] [HOU4] [HOU5] [HOU6] [HOU ALCS MVP] [HOU wins ALCS] (Astros win the 2021 AL pennant; Astros advance t",,
132517871028654494191929166748262899808,[1],,[1],,
14458417721070818950798239263458390176,What is the name of the game that KC won at MIN?,,uTube] [Reference] [Savant] KC @ MIN 2:10pm; KC 6-3 [MLB.com] [YouTube] [Reference] [Savant] BAL @ CWS 2:10pm; CWS 3-1 [MLB.com] [YouTube] [Reference] [Savant] CIN @ CHC 2:20pm; CIN 5-1 [MLB.com] [YouTube] [Reference] [Savant] LAA @ OAK 4:07pm; LAA 4-2 [ML,,
335951523816028482607981124972967259940,Who did the Pierre Trappers and Souris Valley Sabre Dogs play in?,,"eason. During the 2022 season, the Expedition League was forced to end its season early after the Red River Pilots and North Iowa Ragin Roosters both folded by July 4, causing a best of three series between the Pierre Trappers and Souris Valley Sabre Dogs.",,
293236914794429179629734726580757692528,"What is the name of the hub city, Badlands, Casper, Hastings, Pierre, Souris City, Spearfish, Western Nebraska 2019?",Aberdeen," Hub City, Badlands, Casper, Hastings, Pierre, Souris City, Spearfish, Western Nebraska 2019 - Aberdeen- Hub City, Badlands, Casper, Freemont, Hastings, Pierre, Souris City, Spearfish, Wheat City, Western Nebraska 2020 - Badlands, Casper, Freemont, Hasting",,
95504645168231426249912592363205849795,How many statistics did the Major League Baseball team have in 2006?,,2 2006 2.3 2007 2.4 2008 3 Personal 4 Statistics 4.1 Major League 5,,
261859973922548554107980838093437380510,What is a fastball pitch similar to?,,"In baseball, a sinker is a type of fastball pitch similar to the two-seam fastball which has significant downward movement. The sinker is known for inducing a lot of ground balls.[1] Pitchers who use the sinker tend to rely on it heavily and do not need to",,
42660633816262943242995100055951042243,What would make me happy?,if somebody with a regular body can get into the record books,"I'm not a big guy and hopefully kids could look at me and see that I'm not muscular and not physically imposing, that I'm just a regular guy. So if somebody with a regular body can get into the record books, kids can look at that. That would make me happy.",,
