qa_id,question,answer,context,is_question_valid,is_answer_correct
104972971939317956869731776705582694192,What is more affordable and robust than aluminum frames?,," Frame Material Options Gravel bikes are typically constructed from durable materials like aluminum or carbon fiber. Aluminum frames are more affordable and robust, offering a solid balance between weight and durability. On the other hand, carbon fiber fra",1,2
179758941553295651662903149633655232179,What are brakes designed for?,relatively narrow tires,"o one extension and the inner cable to the other, so that when the brake lever is squeezed, the arms move together and the brake pads squeeze the rim. These brakes are simple and effective when designed for relatively narrow tires, but have serious disadva",1,2
234883745863665468950131308733113928169,How many beam patterns are there?,two,ion of the road. There are actually two choices of beam pattern--one directs a little more light downward immediatlely in front of the bike (3 to 10 feet away) whereas the other aims all of the light further ahead (10 feet and beyond) I opted for the one t,1,1
281973264774159352274341583345087216197,What does Tourney Altus Acera Alivio Deore SLX Zee XT XTR SRAM contain?,," of quality.[1] Campagnolo[] Campagnolo does not currently manufacture mountain groupsets Shimano[] Tourney Altus Acera Alivio Deore SLX Zee XT XTR SRAM[] X3 X4 X5 X7 X9 X1 X0 X01, X01 DH XX1 Road[] These lists contain each major manufacturer's road groups",1,1
331562219008626008344008340885322143071,How wide are road tires?,23-28mm," use larger tires for better traction on loose surfaces like mud and grass. Typical cyclocross tires range from 30 to 35mm in width, compared to much narrower road tires, which are often around 23-28mm. The extra clearance also ensures that mud and debris ",1,1
66501693369105814364800099428591743178,What makes a good helmet mounted light?,The Stella,f run time with the 3 cell Li-ion battery. I really don't know as I have never run the battery out. The Stella is small and light and makes a very good helmet mounted light. Helmet mounting helps to compensate for the tight beam pattern as it allows you to,1,2
139778163289650060700306245966613296576,What can users explore in their area?,popular routes,"e access to more in-depth metrics, like fitness & freshness scores, training load, and custom goal setting. Route Discovery and Planning: Users can explore popular routes in their area, access heatmaps showing frequently used routes, and create their own. ",1,1
247360876516770000347542542590684231636,"Along with advanced materials and cutting-edge technology, what is the focus of the Equipe RS line?",,"ic fit, advanced materials, and cutting-edge technology, the Equipe RS range is developed with input from professional cyclists and tested in the most demanding race environments. The line is geared towards maximizing speed, reducing drag, and offering the",1,2
231160821443795903629753009143960513707,How many Birdie's are there?,,Bobbin are a type of bicycles. Contents 1 Birdie 2 Brownie 3 Bramble 4,2,1
325299110102460148250790240845989521206,How much did the competitors cost?,~$200," diagrams of the beam pattern options. http://www.peterwhitecycles.com/schmidt-headlights.asp#fly I found this page with pictures of one taken apart very interesting. http://fotos.mtb-news.de/sets/view/12234/page:1 The ~$200 competitors--Supernova E3, Schm",1,1
153703769858450759610020330644430757023,What is the name of the person who is a member of the federation?,,.,1,2
189738006026771039154715346949178143584,How long is the Rennsteig Trail?,168 km,"uringen)[] Thuringian Forest (Thuringer Wald): Description: Known for its dense forests, historic trails, and mountain views. Routes: Rennsteig Trail: A historic trail spanning 168 km through the Thuringian Forest, popular with both hikers and cyclists. We",1,1
