qa_id,question,answer,context,is_question_valid,is_answer_correct
160077328870752041595798902853278896047,What is dball?,a fast-paced sport where two teams of seven players compete to score more goals,dball (or team handball) is a fast-paced sport where two teams of seven players compete to score more goals. HELPFUL LINKS Getting Started How to Contribute Managing your new community Guides All Help articles,1,1
179165322216537433837120480784051326401,How many events were there in 2006?,,This is an overview of the year of 2006 in handball. Contents 1 Events 2 Births 3 Deaths 4,1,1
211447346738566674432923273515852289434,What can you do to help make this article better?,,ship. This article is a stub. You can help Handball Wiki by expanding it.,1,2
262859488234182482854076962274831989934,When was the IFK Amal established?,1908,"IFK Amal is a sports club in Amal, Sweden, established in 1908. The club practices soccer and handball, earlier also bandy and floorball.",1,1
61420761867560832445096969314221339210,What year was the European Championship won?,1994,"The Sweden men's national handball team (Swedish: Sveriges herrlandslag i handboll) represents Sweden in international men's handball. Sweden won the World Championship in 1954, 1958, 1990 and 1999, and the European Championship in 1994, 1998, 2000, 2022 a",1,1
2812939675553516034751356086864825232,In what year did handball begin?,,This is an overview of the year of 2017 in handball. Contents 1 Events 2 Births 3 Deaths 4,1,2
188104787961306747154648339662826345864,What year was Alexandrina Barbosa born?,1986,"Alexandrina ""Sandy"" Barbosa, (born 5 May 1986) is a Portuguese back player, playing for the Portuguese national team and Spanish club Itxako Reyno de Navarra. She won the Spanish Queen's Cup in 2010 with Itxako. This article is a stub. You can help Handbal",1,1
285693098775279466800479110066670523805,What is Silvia's national team?,Spanish,"Silvia Navarro (born 20 March 1979 in Valencia) is a Spanish goalkeeper, playing for Itxako Reyno de Navarra and the Spanish national team. Club career[] With Itxako, Silvia won the Spanish league and the EHF Cup in 2009. In 2010 she won the Queen's Cup. N",1,1
171808172086504987013204400699680736156,What is a candidate for deletion?,This page,"This page is a candidate for deletion. If you disagree with its deletion, please explain why at Category talk:Candidates for deletion or improve the page and remove the {{delete}} tag. Remember to check what links here and the page history before deleting.",1,2
213921069301830674901089669113590125690,What is the name of the Swedish sports club?,Forsbacka IK,"Forsbacka IK is a sports club in Forsbacka, Sweden, established in 1918. The club practices bandy, floorball, handball and soccer",1,1
36743977688892283731131002873818062270,How can a goal be scored?,,"emplate:Convert, with a goal in the middle of each end. The goals are surrounded by a Template:Convert zone where only the defending goalkeeper is allowed; goals must be scored by throwing the ball from outside the zone or while ""diving"" into it. The sport",1,2
