qa_id,question,answer,context,is_question_valid,is_answer_correct
322981050163374166438850533350573801013,Who is the Czech champion for 2002-03?,HC Slavia Praha,"2:2,0:0) HC Slavia Praha - HC Sparta Praha 1:2 (0:0,1:2,0:0) HC Sparta Praha - HC Slavia Praha 2:5 (1:3,1:1,0:1) Final[] HC Slavia Praha - HC IPB Pojistovna Pardubice 0-1, 4-2, 5-4, 2-0, 3-4, 1-5, 1-0 HC Slavia Praha is Czech champion for 2002-03. Relegati",1,1
265114531110128293315858039655175533604,What is the national under-20 ice hockey team in Serbia?,The Serb men's,main The Serb men's national under 20 ice hockey team is the national under-20 ice hockey team in Serbia. The team represents Serbia at the International Ice Hockey Federation's World Junior Hockey Championship Division II Group B. U18 Team[] The Serbia me,1,1
328240501882015438524335635239058186033,Where does the ice rink in the mall belong to?,Limassol,"inks, a 430 square-meter rink in a shopping mall in Limassol, and a 450 square-meter synthetic ice facility in Famagusta. The former rink is only suitable for practice. The Limassol and Famagusta teams hailed from two different parts of Cyprus, which has b",1,2
261207633764195257175201037275144612495,What was the score of SK Slavia Praha I vs. Studentsky Hockeyovy Cercle Karlin in the Semifinals?,,"ska sportovni spolecnost I defeated Cesky spolek pro zimni sporty II on forfeit. Ceska sportovni spolecnost II - Bruslarsky zavodni klub 2-1 (2-0, 0-1) Studentsky Hockeyovy Cercle Karlin - SK Slavia Praha II 1-0 (0-0, 1-0) Semifinals[] SK Slavia Praha I - ",1,2
95643631504143270864048787793013328135,What team won the Austrian national league championship?,EHC Lustenau,"The 2008-09 Austrian National League season was contested by eight teams, and saw EHC Lustenau win the championship. All eight teams that participated in the regular season qualified for the playoffs. Regular season[] Playoffs[]",1,1
147996933102601211614120472994893994994,How many rounds were there in the qualification round?,,ue by defeating Hasle in the final. Contents 1 Hovedserien 1.1 Western Group 1.2 Eastern Group 1.3 Final 1.4 Qualification round 2 Norwegian Championship 2.1 First round 2.2 Second round 2.3 Semifinals 2.4 Final 3,1,1
57017341849165203619134236393217781038,What was the name of the team?,,Titles by team 5,1,2
151746468811745567970145877434691411503,"Who - HC Klasterec nad Ohri - SHC Klatovy 5:4 (3:0, 1:2, 1:2) HC Decin 5:7 (2:2, 2:2, 1:3)",,"terec nad Ohri - SHC Klatovy 5:4 (3:0, 1:2, 1:2) SHC Klatovy - HC Klasterec nad Ohri 3:4 (OT) (1:3, 1:0, 1:0 - 0:1) HC Klasterec nad Ohri - SHC Klatovy 7:1 (4:0, 1:1, 2:0) HC Kobra Praha - HC Decin 5:7 (2:2, 2:2, 1:3) HC Decin - HC Kobra Praha 4:2 (2:1, 1:",1,2
125341830242022947940830950607602978590,What year did HK 96 Nitra become a HK Brezno?,,Hviezda Dolny Kubin 2011-12 : HK Iskra Partizanske 2010-11 : HK Puchov 2009-10 : HK 96 Nitra 2008-09 : HK Brezno 2007-08 : HK 07 Detva 2006-07 : HC 46 Bardejov 2005-06 : HK Ruzinov 99 Bratislava 2004-05 : HKm Humenne 2003-04 : HK Trnava 2002-03 : HK Brezno,1,2
230297944304006083353051684156128258899,What was the 28th season of the Serie A?,1961-62,"The 1961-62 Serie A season was the 28th season of the Serie A, the top level of ice hockey in Italy. Four teams participated in the league, and SG Cortina won the championship. Regular season[]",1,1
128947861504994833827029495680677324026,What is the name of the ice hockey team?,HC ZUBR Prerov,o the HC ZUBR Prerov ice hockey team. The arena was reconstructed in 2009.,1,1
325531919985462890101933910008629455577,What position did he hold until his death?,Associate Professor of English Literature,er became an Associate Professor of English Literature at Long Island University - a position he retained until his death. Sources[] 1910 Oxford Canadians,1,1
225075885215245426434517778781559817295,In what place was he ranked in 1973?,18th," Finished in 14th place (8th in ""Pool B"") 1971 - Finished in 19th place (5th in ""Pool C"") 1972 - Finished in 17th place (4th in ""Pool C"") 1973 - Finished in 18th place (4th in ""Pool C"") 1974 - Finished in 17th place (3rd in ""Pool C"") 1975 - Finished in 16t",1,1
943181579949899284729174325070663065,What year was Czeslaw Karol Marchewczyk born?,1912,"Czeslaw Karol Marchewczyk (October 1, 1912 - November 11, 2003) was a Polish hockey player. He was a long-time member of the Polish National Team during the 1930s and 1940s, appearing at five World Championships and three Olympic Games. Marchewczyk spent h",1,1
260571257744941224568786480981688049377,What does e less mean?,,e less.),1,1
16947576169565242325900890311530724102,What are some of the questions that arise from the question of what?,,s,1,1
337551491278545512623547739749574706691,How many teams were promoted to the 2nd Bundesliga?,Four,The 1990-91 Oberliga season was the 18th season of the league as the third level of ice hockey in Germany. SC Memmingen won the championship. Four teams were promoted to the 2nd Bundesliga. Contents 1 Oberliga North 1.1 Regular season 1.2 Qualification rou,1,1
243983876448446775202345085497586114495,What place did he finish in 2010?,35th,"up B"") 2010 - Finished in 35th place (4th in ""Division II, Group A"") 2011 - Finished in 38th place (5th in ""Division II, Group B"") 2012 - Finished in 37th place (3rd in ""Division II, Group B"") 2013 - Finished in 40th place (6th in ""Division II, Group B"") 2",1,2
190979420757751331793496490475722142218,What did Bliesener serve as in World War I?,a sergeant,Willi Bliesener was a German goaltender. He played for the German National Team at the European Championships in 1910 and 1911. Biography[] He played club hockey for Berliner Schlittschuhclub. Bliesener served as a sergeant in World War I. He was killed by,1,1
132866251536945948810893786828297002970,When was the Ahearne Cup played?,"December 26, 1972, and January 6, 1973","This is the 1972-73 edition of the Ahearne Cup. The tournament was played between December 26, 1972, and January 6, 1973. The tournament's games were held in either Stockholm, Sweden, or Helsinki, Finland. Standings[]",1,1
202585211689514885280932106719672065616,Where was their home arena?,Sportspalais Merksem,"The Wild Goose were an ice hockey team in Antwerp, Belgium. The club, whose uniform colors were yellow and blue, was founded in 1939. Their home arena was the Sportspalais Merksem.",1,1
284128698827920346165481924903242113736,What was the score for Bruleurs de Loups?,,"rg : 2-3 SO (0-1, 1-0, 1-1, 0-1) Semifinals[] Etoile noire de Strasbourg - Dragons de Rouen : 3-6 (0-2, 2-4, 1-0) Bruleurs de Loups de Grenoble - Ducs d'Angers : 8-5 (2-3, 4-1, 2-1) Final[] Dragons de Rouen - Bruleurs de Loups: 2-2 (0-1 ; 2-1 ; 0-0 ; 0-0) ",1,2
166693501570669885278749867166643749340,What was the score of the game between SK Slavia Praha and AC Sparta Praha?,2:2,"il sp? (2) LTC Praha - SK Zbraslav 12:0 (5:0, 3:0, 4:0) - goals: Malecek (10), Hromadka, Tozicka January 13 SK Slavia Praha - AC Sparta Praha 2:2 (0:1, 2:1, 0:0) January 15 LTC Praha - SK Slavia Praha 6:0 (1:0, 5:0, 0:0) - goals: Malecek (4), Pusbauer, Hro",1,2
191404800991527946133674339646197023960,What is the name of the perishable food that you eat?,,per,1,2
209039420412869907064626288170545322314,How many minutes did SK Ceske Budejovice play?,,"1, 2:0) January 27 CSK Vysehrad - DEHG Prag 1:0 (0:0, 0:0, 1:0) January 29 SK Slavia Praha - DEHG Prag 5:2 (2:1, 1:1, 2:0) Slavia Reserves - DEHG Reserves 3:0 AC Sparta Praha - Brunner EV 0:0 LTC Praha Reserves - SK Ceske Budejovice 5:2 (3:1, 1:1, 1:0) @ C",1,2
29061004551404407494430190435120476836,When did the Soviet Championship run?,1946 to 1992,"The Soviet Championship (Russian:Chempionat SSSR) was the highest level ice hockey league in the Soviet Union, running from 1946 to 1992. Before the 1940s the game of ice hockey was not cultivated in Russia, instead the more popular form of hockey was band",1,1
295554704465677818424628150050321842848,Who won the regular season Playoffs?,,"The 2011-12 Latvian Hockey League season was the 21st season of the Latvian Hockey League, the top level of ice hockey in Latvia. Nine teams participated in the league, and HK Liepajas Metalurgs won the championship. Regular season[] Playoffs[] Quarterfina",1,2
