qa_id,question,answer,context,is_question_valid,is_answer_correct
151233129102775067481450654390705601610,What did Alydar do?,,"a left-handed whip on the tiring Affirmed, something he had never done before, and Affirmed surged forward to win by a nose. At the time, this had been the third fastest Belmont Stakes ever. Affirmed won the Triple Crown, and Alydar had done something no o",1,2
289100065652741991847643770402034944900,Who rode Affirmed?,ncay,"ncay rode Affirmed; on the far turn, he cut off Alydar, causing his rival to check suddenly. Affirmed finished first, but was disqualified and placed second. The two horses never raced against each other again, and their final winning tally stood at Affirm",1,1
318773226224179805772328649471919027589,What is Ronald Joseph morel turcotte's birth date?,"July 22, 1941","Ronald Joseph Morel Turcotte (born July 22, 1941) is a Hall of Fame thoroughbred race horse jockey, best known for winning the 1973 U.S. Triple Crown with Secretariat. Turcotte began his racing career in Toronto as a hot walker in 1959, but it wasn't long ",1,1
88443172514848939684081120026333521064,What is the only individual to do so?,e Crown,"e Crown scored a Triple Crown as a trainer in sweeping the 1995 races with different horses, the only individual to do so. The three American Classic Races are collectively known as the U.S. Triple Crown. As of the completion of the 2008 season, the races ",1,1
214039106753148372537539725792008340363,What is the PDJF?,ey Fund,"ey Fund (PDJF). Contents 1 Major racing wins 2 Awards 3 Honours 4 Significant horses Major racing wins[] Breeders' Stakes (1962) Coronation Futurity Stakes (1963) Toronto Autumn Cup (1963) Canadian International Stakes (1964, 1971) Kentucky Oaks (1965) Spo",1,1
46707524938434513753569454919376354402,How many Triple Crown race wins were there?,7.1,"Honors and retirement 7 Major wins 7.1 Triple Crown race wins: 8 Awards 9 Honours 10 Pedigree 11 Gallery Racing Record[] Two-Year-Old Season[] In his first start, Secretariat got bumped from the start, and had too much ground to make up, finishing 1-1/4 le",1,1
144032765877637733914750829278341638457,Who was the 1972 American Horse of the Year?,Secretariat,"r Champion Two-Year-Old Male Horse, and also the 1972 American Horse of the Year. Three-Year-Old Season[] Secretariat easily won the Bay Shore Stakes to start off his three year old season; but in his next start, the Gotham Stakes, he led wire-to-wire for ",1,1
164081609753926735967123320102208500939,Who won by 2-1/2 lengths?,Golden Soul,"dle of the sloppy track. The favorite took the lead one sixteenth of a mile from home and pulled away to win by 2-1/2 lengths from Golden Soul in a final time of 2:02.89. After the race, McGaughey, who was winning the race for the first time said that ""I'v",1,2
125930131687833427005748983805713049681,Where was the Jockey Club Gold Cup held?,Belmont,"mont Park, and then faced three-year-old Spectacular Bid in the Jockey Club Gold Cup, also at Belmont. Like Alydar, Spectacular Bid preferred to run off the pace, and once again, Affirmed was allowed to set a slow pace, going the first half mile in 49 seco",1,1
211665898600193317697856909498296472084,Who won the Kentucky Derby?,Orb,"[] The 2013 Belmont Stakes Payout Schedule $2 Exacta: 12-7 - $323.50 $2 Trifecta: 12-7-5 - $931.00 $1 Superfecta: 12-7-5-6: $10,301.00 Field[] Both the Kentucky Derby winnner Orb and the Preakness Stakes winner Oxbow entered the race. This was the 21st tim",1,1
258465804185637251245873692281267397941,When did Gary Stevens start working for TVG?,,"7 years started working in January 2006 as a racing analyst with TVG. Also that month, he joined NBC Sports as its leading horse racing analyst. James Risch, Governor of Idaho, proclaimed the week of July 10, 2006, to be Gary Stevens Week. In March 2007, S",1,2
54929906366296261284384206693381715505,What is laminitis?,a circulatory hoof disease,"l with laminitis, a circulatory hoof disease. The same disease has also led to the death of fellow Triple Crown winner Secretariat and Kentucky Derby winner Barbaro. He was buried whole (the ultimate honor for a race horse) at Jonabell Farm, wearing the fl",1,1
