qa_id,question,answer,context,is_question_valid,is_answer_correct
30419707763963169344810281729700037207,What is a punch in boxing?,A hook,"For other uses, see Hook (disambiguation). A hook is a punch in boxing. It is performed by turning the core muscles and back, thereby swinging the arm, which is bent at an angle near or at 90 degrees, in a horizontal arc into the opponent. A hook is usuall",1,2
123661904985624210452243090994479937029,What kind of martial arts are used?,,Redirect to:Mixed martial arts,1,2
100582087068137602545108977654771132308,What year did it happen?,,2011 5,1,1
62963048389248664296962243362422415180,Where is the US located?,central North America,"The United States of America (also called the United States, the U.S., the USA, America, and the States) is a federal constitutional republic comprising fifty states and a federal district. The country is situated mostly in central North America, where its",1,1
285035093102859135130317687986019272297,What year was Julio Cesar Chavez Carrasco born?,1986,"This article is a stub. You can help Boxing Wiki by expanding it. Julio Cesar Chavez Carrasco (born February 16, 1986), best known as Julio Cesar Chavez Jr., is a Mexican professional boxer who held the WBC middleweight title from 2011 to 2012. He is the s",1,1
190565509410675267664776440424005507496,What are boxing gloves?,cushioned gloves,"File:Boxhandschuhe 20071227.jpg A classic pair of boxing gloves Boxing gloves are cushioned gloves that fighters wear on their hands during boxing matches. The term also refers to gloves used in training, though these often differ from competition gloves. ",1,1
62967754001116677783136159031610089813,How did Tommy Ryan fight?,," Welterweight and Middleweight Champion Tommy Ryan, Jeffries fought out of a crouch with his left arm extended forward. He was able to absorb tremendous punishment while wearing his opponents down. A natural left-hander, he possessed one-punch knockout pow",1,1
50119377059786859396256245845190503712,How many ways should Redirect pages be eliminated?,,on Wikipedia. Click here to return to the Boxing Wiki main page or just hit your browsers back button to return to your previous page. These Redirect pages should be eliminated in either of two ways. #1 Create a article of our own for this page. #2 On ever,1,1
172700296895899327253413702965860923295,When was Bob Fitzsimmons born?,"May 26, 1863",".82 m) Bob Fitzsimmons (May 26, 1863 - October 22, 1917) was a British native who made fistic history by being boxing's first three division world champion ever. Had it not been because he jumped from Middleweight to Heavyweight before reigning at Light-He",1,1
126188265963064218438939347843525753792,"What is the home arena in New York City, New York, United States?",Madison Square Garden,"Madison Square Garden, often abbreviated as MSG, known colloquially simply as The Garden, is the home arena in New York City, New York, United States.",1,1
125637652930727468702045612999400529103,What was the weight of the first round?,," (1/16 Final) - July 24, 1980 1.4.3 Third Round (1/8 Final) - July 28, 1980 1.4.4 Fourth Round (1/4 Final) - July 30, 1980 1.4.5 Fifth Round (1/2 Final) - July 31, 1980 1.4.6 Sixth Round (1/32 Final) - August 2, 1980 1.5 Lightweight (- 60 kg) 1.5.1 First R",2,2
