qa_id,question,answer,context,is_question_valid,is_answer_correct
62596396797506075988401826173538574850,How many runs did England score in 38.6 overs?,150,"snan 14) Powerplay 2: Overs 35.1 - 40.0 (Batting side - 20 runs, 2 wickets) England: 150 runs in 38.6 overs (234 balls), Extras 15 Innings Break: England - 155/10 in 42.2 overs (JC Tredwell 4) Powerplay 1: Overs 0.1 - 10.0 (Mandatory - 48 runs, 1 wicket) I",1,1
15044936202059357009596390612755383415,What did Bradman lead with?,example,"ches against the tourists and their team had also gelled as one unit. Not only did the their captain, Bradman lead with example, but the other team members also proved themselves equally adept. So this match saw the Indians playing with their honour at sta",1,1
314419169705114270061878114425078446547,Who was the Umpire?,M Erasmus," by Australia (Bowling), Umpire - M Erasmus, Batsman - MA Carberry (Struck down) Tea: England - 87/3 in 21.0 overs (MA Carberry 43, GS Ballance 7) England: 100 runs in 24.4 overs (149 balls), Extras 8 England: 150 runs in 30.2 overs (183 balls), Extras 8 A",1,1
116038429178163382571818009993794814618,What was Haris Sohail's name?,,"n the field before being finally tossed the ball for the 23rd over of Pakistan's second innings: a stunning one-handed pluck at mid-off to extract the dangerous Haris Sohail was a pretty impressive way to pass his time. When his spell finally began, Imam-u",2,2
91151516048288788862495304949862559522,What is the name of the Twenty20 International match played?,,The South Africa cricket team is scheduled to tour Australia in October and November 2018 to play three One Day Internationals (ODIs) and one Twenty20 International (T20I) match. Contents 1 Tour match 1.1 50 overs:Prime Minister's XI vs South Africa 2 ODI ,2,2
191487905026894553216916762596630803471,What is the name of the cricketer who currently plays for the Indian national team?,Umeshkumar Tilak Yadav,"Umeshkumar Tilak Yadav (born 25 October 1987) is an Indian cricketer who currently plays for Vidarbha cricket team and Indian national team. A right-arm fast bowler, Yadav has played for Vidarbha at domestic level since 2008 and is the first player from th",1,1
285821014354732553424309731016634234186,When did the ICC world twenty20 competition take place?,18 September to 7 October 20,"This article is a stub. You can help International Cricket Wiki by expanding it. This is a list of records and statistics of the 2012 ICC World Twenty20, the fourth ICC World Twenty20 competition that was held in Sri Lanka from 18 September to 7 October 20",1,1
134691150596966761537607645333789531124,Who was the captain of the England team?,Robert Christiani," play England: Jeff Stollmeyer, captain Robert Christiani Gerry Gomez Frank King Bruce Pairaudeau Sonny Ramadhin Alf Valentine Clyde Walcott Everton Weekes Frank Worrell In addition, four players who had played in earlier Test series were recalled: Denis A",1,2
20091281104276703839632661267182647240,What year did he make his Test debut against the West Indies?,,"first player from the team to have played Test cricket. He made his One Day International (ODI) debut against Zimbabwe in May 2010. The following year, in November, Yadav made his Test debut against the West Indies. He was the highest wicket-taker for Indi",1,1
261540323758640263163629997967965073964,Who won the first two Test matches?,The West Indies,"st matches[] Five Test matches were played. The West Indies won the first two, England the third. The fourth match was left drawn after six days and England won the fifth and final match to draw the series. 1st Test at Sabina Park, Kingston - West Indies w",1,1
193591006509401618939957119144635880959,Where was the match played?,"Lahore, Pakistan","ime in World Cup history that a host nation won the World Cup Final and the first time to win on their home ground. Sri Lanka was a co-host when it won the 1996 Cup, but the final match was played in Lahore, Pakistan. In the stadium, the match was watched ",1,1
177538502935750016609333654524494302117,How many Tests were played by the Australian Cricket team in England?,3,The Australian cricket team in England in 1888 played 37 first-class matches including 3 Tests. Contents 1 Touring party 2 Test matches 2.1 First Test 2.2 Second Test 2.3 Third Test 3 Other first-class matches 3.1 Summary of results 4 Batting averages 5 Bo,1,1
117876921383598562559187409537443045236,Which team won the series 3-2?,Australia,The West Indies cricket team toured Australia in the 1996-97 season and played 5 Test matches against Australia. Australia won the series 3-2. Test series summary[] 1st Test (Brisbane Cricket Ground) - Australia won by 123 runs 2nd Test (Sydney Cricket Gro,1,1
74516877335796598555841075061115628266,When was the tour originally scheduled to take place?,March 2020,"The England cricket team are scheduled to tour Sri Lanka in January 2021 to play two Test matches. The Test series will form part of the inaugural 2019-21 ICC World Test Championship. Originally, the tour was scheduled to take place in March 2020, but the ",1,1
126623485132861451326245029468575287766,What is the nationality of Timothy James murtagh?,Irish,"Timothy James Murtagh (born 2 August 1981) is a Irish cricketer. Born and raised in England, Murtagh is a left-handed batsman and a right-arm fast-medium bowler; he represented England in the 2000 ICC Under-19 Cricket World Cup. He played for the Surrey co",1,1
59656768777325040397464713458329454915,Who was the captain of the Australian batsmen?,Greg Chappell,"C's Test Match Special. Contents 1 Australian Squad 2 Test summary 3 External sources 4 Annual reviews Australian Squad[] The Australian squad selected for the tour was as follows: Batsmen - Greg Chappell (captain), Kim Hughes (vice captain), Allan Border,",1,1
12687408884402320296459519305525589833,What is the name of the trophy England v India won in the Pataudi Trophy?,Pataudi Trophy,in the second WTC cycle. New Zealand are the defending champions. Contents 1 Format 1.1 Points system 2 Participants 3 Schedule 4 League stage 4.1 League table 4.2 2021 4.2.1 Pataudi Trophy (England v India) 4.2.2 West Indies v Pakistan 4.3 2021-22 4.3.1 S,1,1
258876676922772924893048486013932367920,What is the name of the national cricket team?,Botswana,The Botswana national cricket team represents the African nation of Botswana in international cricket. Contents 1 Statistics and Records 1.1 Twenty20 Internationals 1.1.1 Team Records 1.1.2 Most Career Runs 1.1.3 Most Career Wickets 1.1.4 Highest Scores 1.,1,1
178006918809779156672198025987363437236,Who was named as her replacement?,Rachael Haynes,"es, after undergoing surgery on her shoulder. The following month, Rachael Haynes was named as her replacement. In September 2017, Cricket Australia confirmed that the first match, the WODI at Allan Border Field, Brisbane, had sold out, the first time a Wo",1,1
148146993001796582075423497723835921515,What is his nickname?,,"released by Hampshire at the end of the 2011 season, shortly thereafter he announced his retirement on Sky Sports News on 22 September 2011. His popular nickname is ""Corky"".",1,1
257752393609507028380114607633300550221,What is the name of the group of matches played in 2011 cricket world cup?,Group B,s and South Africa. The top four teams will advance to the Quarter-Finals. 2011 Cricket World Cup Group B Contents 1 Matches 1.1 India vs Bangladesh 1.2 Netherlands vs England 1.3 West Indies vs South Africa 1.4 Bangladesh vs Ireland 1.5 India vs England 1,1,1
57204130433867985112027493737205291300,What is the name of the team that has the most career runs?,,1 Team Records 1.1.2 Most Career Runs 1.1.3 Most Career Wickets 1.1.4 Highest Scores 1.1.5 Best Bowling Figures 1.1.6 Win/Loss Record 1.2 Twenty20 Internationals 1.2.1 Team Records 1.2.2 Most Career Runs 1.2.3 Most Career Wickets 1.2.4 Highest Scores 1.2.5,1,2
9229942272314047039070825502881417375,How many test matches were played?,Five," third and fourth tests. Five test matches were played, with England winning the first test comfortably by nine wickets, only to lose the next four tests equally emphatically. Stoddart's team played a total of 22 matches whilst on tour; nine against local ",1,1
189187217728004614951361755271556895409,When was the documentary released?,2005,"hich included a mixture of five hours of archived match highlights, anecdotes and current day reflections from the key players. The documentary was released in 2005 as a three-disc DVD. Contents 1 West Indian touring party 2 West Indian successes 3 Austral",1,1
147856767941983149631572113119145983088,Who replaced Michael Clarke?,Callum Ferguson,"er Michael Clarke was replaced by Callum Ferguson and George Bailey captained the side. During the second ODI match, all of the first five Australian batsmen made a score of fifty or more, a feat which no side had previously done. In the second match, Indi",1,1
124047974348532336082110812661413677223,Who played Test cricket?,," was a tall (6 feet 6 inches or 1.98 metres) batting all-rounder who bowled both medium pace and off spin. Greig was captain of England from 1975 to 1977, and also captained Sussex. His younger brother, Ian Greig, also played Test cricket, while several ot",1,1
273970931257097285265984074263292570263,Who took 4 for 48?,athan Bracken,"athan Bracken took 4 for 48 including the prize wicket of Brian Lara, while Brett Lee took 5 for 30 including the wickets of Devon Smith, Ramnaresh Sarwan, Denesh Ramdin, Corey Collymore and Jermaine Lawson as the West Indies surrendered in 49 overs to los",1,1
232884506320920288109485339102589997532,Who is Alexander Zak Lees contracted to play for?,Durham,"Alexander Zak Lees (born 14 April 1993) is an English first-class cricketer. A left-handed batsman and occasional right arm leg-spin bowler, Lees is contracted to Durham, having previously played first-class matches for Yorkshire County Cricket Club. Lees ",1,1
91655561116841878653091917027954115291,What was the previous name of the Oval?,Kennington Oval,"eth. In the past it was also sometimes called the Kennington Oval. In past years it was officially named as the 'Fosters Oval', 'AMP Oval', 'Brit Insurance Oval', due to previous commercial sponsorship deals. The Oval is the home ground of Surrey County Cr",1,2
174761317145319285401445050246662321565,What is the nearest Tube station?,Oval,"lbourne Cricket Ground) to host Test cricket. The nearest Tube station is Oval, but Vauxhall is only half a mile away.",1,1
167070118932491689677662504798698424921,Who plays international cricket for Ireland?,Mark Richard Adair,"Mark Richard Adair (born 27 March 1996) is a cricketer from Northern Ireland, who plays international cricket for Ireland. He has also played English county cricket for Warwickshire County Cricket Club. He is a right-arm fast bowler, who also bats right-ha",1,1
289890373607000303404202570429697242105,Where was the match played?,"County Ground, New Road, Worcester","The 1961 Australian cricket tour of England began with a three day match versus Worcestershire CCC at the County Ground, New Road, Worcester on Saturday 29 April, play continuing on Monday 1 May and Tuesday 2 May. This match was rain-affected and ended in ",1,1
63861929788302399392065558050248194193,What was the lead of Australia at one point?,469-5,", thanks mainly to O'Neill's 181. He was the last man out. At one point Australia had been 469-5, and a large lead had looked likely, but Davidson's dismissal for 44 triggered a collapse, with Hall taking four of the last five wickets. West Indies were 0-0",1,2
35249279461685008342721033224548568232,What are the most career runs?,,t Bowling Figures 1.1.6 Win/Loss Record Statistics and Records[] Twenty20 Internationals[] Team Records[] Most Career Runs[] Most Career Wickets[] Highest Scores[] Best Bowling Figures[] Win/Loss Record[],2,2
328490721752785124295172656530902487539,What year was Faheem Ashraf born?,1994,"Faheem Ashraf (born 16 January 1994) is a Pakistani international cricketer who represents the national side and plays first-class cricket for Habib Bank Limited. International career[] In March 2017, he was named in Pakistan's One Day International (ODI) ",1,1
210655432049239936239636725616521712751,How many wickets did Australia take?,,"struggled badly with the bat. Australia were all out for just 214 late on day one with Clarke last to go on 98 runs, NZ survived a few overs to finish 0/7 at stumps. The next morning began perfectly for Australia with a wicket on the first ball, and more k",1,2
70981105832980619434929404847920662228,How many Test series are there?,,a 3 Test series 3.1 1st Test 3.2 2nd Test 3.3 3rd Test 3.4 4th Test 3.5 5th Test 4,1,1
119506053276838510788588467937292146626,What team did she play for?,,"erset, Middlesex, Kent, Sunrisers and Oval Invincibles. She has appeared for the England Academy Women's team and the England Cricket Board Development Women's XI. She made her One Day International debut against Sri Lanka at Colombo on 15 November 2010 an",1,2
9081142338615492526492864133592093584,When was the 2nd Test?,30 Dec 1960,"me threw down the wicket, this time from side on. 2nd Test, 30 Dec 1960 - 3 Jan 1961[] Australia's first innings came at the very high rate for the period of 66 runs per hundred balls. No-one went on to make a big score, however, and when they were 251-8 i",1,1
220974689089342741613680322039822890752,What was Yardy's name?,,11 it was announced that Yardy had flown home from the Cricket World Cup suffering with depression.,1,1
234075187521875037092640930299707629964,Who won the tournament?,South Africa,"Knock Out were played in Dhaka, Bangladesh. The tournament started with a preliminary match between New Zealand and Zimbabwe to decide which would proceed to the Quarter Finals. The tournament was won by South Africa, who beat West Indies in the final. 200",1,1
139693453861050948970472274796147418696,What is a clean-sweep?,,a clean-sweep. Contents 1 Background 2 Test series 2.1 First test 2.2 Second test 3 Test squads 4 One Day series 4.1 1st ODI 4.2 2nd ODI 4.3 3rd ODI 5 Aftermath 6 One Day International squads 7,2,2
186938482927468149900594634869036918057,How many One Day Internationals did the Irish cricket team play against the Afghanistan cricket team?,three,"The Ireland cricket team toured the United Arab Emirates in December 2017 to play three One Day Internationals (ODIs) against the Afghanistan cricket team. The matches were used as a warm-up for the 2018 Cricket World Cup Qualifier, scheduled to take place",1,1
