qa_id,question,answer,context,is_question_valid,is_answer_correct
263444034681119113624524540905820695508,The term physical attractiveness often implies what two things?,sexual attractiveness or desirability,"Physical attractiveness is the degree to which a person's physical features are considered aesthetically pleasing or beautiful. The term often implies sexual attractiveness or desirability, but can also be distinct from either. There are many factors which",1,1
269973300534586494254969354054088669210,What is the Rank 10 - Black Karate Styles?,trips Stage 7,trips Stage 7 - Rank 10 - Black Karate Styles[] Goju-ryu Shito-ryu Shotokan-ryu Wado-ryu Shorin-ryu Uechi-ryu Kyokushinkai Budokan Links[] Karate on Wikipedia World Karate Federation US Karate Federation Karate Mart.com YouTube Karate Videos[],2,2
263424418733213142330495923094777838549,The word diet often implies the use of specific intake of nutrition for what reasons?,Diet or weight-management,"In nutrition, Diet is the sum of food consumed by a person or other organism. The word diet often implies the use of specific intake of nutrition for Diet or weight-management reasons (with the two often being related). Although humans are omnivores, each ",1,1
108480753751481973215424604197418906301,What are you measuring?,," specific goal. Are you hoping to get down to that size 6 pants or lose 10% body fat? Would you like to build up some muscle or just tone your body? Write it down and set a goal date. When you reach THAT goal, set another one! Third, take your measurements",1,1
283568617381476505366616456241274476335,The more narrow you grip the more your triceps will b?,,"ser then shoulder width. Do not go to wide of narrow because this may cause injury. Start slower if you want to change your grip style. The wider you grip, the more the chest muscles will be worked and the more narrow you grip, the more your triceps will b",1,1
17877981708543975008478211416429690664,What do children play instead of playing outside?,video games,"e our leaves and sweep our patio, elevators and escalators take us up the stairs, even our doors open by themselves. We use the time our technology has given us to sit in front of the TV, our children play video games instead of playing outside. We think t",1,1
338053772230483072345541727139831697297,What are some of the sports a person competes in?,"physical strength, speed or endurance","Sportsperson (also Sportsman or Sportswoman) is a person who competes in one or more sports that involve physical strength, speed or endurance.",2,2
103303907878657348139062719848457523277,What do all gyms have?,their own benefits,"] If you choose to go to an actual gym and pay a monthly fee, you want to make sure that is the gym you want to spend most of your time in. There are a lot of gyms choices out there. All of them have their own benefits. For example, Gold's Gymnastique is g",1,1
94296390283931279393354669423257401580,What sports use strength training as part of their training regimen?,"tennis, American football, wrestling, track and field, rowing, lacrosse, basketball, pole dancing, hockey, professional wrestling, rugby union, rugby league, and soccer","sports use strength training as part of their training regimen, notably tennis, American football, wrestling, track and field, rowing, lacrosse, basketball, pole dancing, hockey, professional wrestling, rugby union, rugby league, and soccer. Strength train",1,1
202729449242671080014171129191914554615,What is the name of the fat loss system?,,"y fat loss system, not just an Acai berry supplement. Whenever you purchase LeanSpa Acai, you receive an entire, complete working program that has been confirmed to assist you shed body fat. LeanSpa with Acai Supplement brings together substances that impa",1,2
189725015467084196636574338539300939006,What type of exercise does a person do?,Mental,Mental exercise,1,1
286768084055069074371531737185949294069,How many players are in each American Football team?,11,"American Football in general[] American Football is a sport played by two teams, consisting of 11 players each. It is played on a rectangular field, which measures exactly 120 yards long and 53.33 yards wide. At each end, there is a goalpost. The process o",1,1
28668775275672339336469619418226758549,Why is the rise in childhood obesity rates so pronounced?,it may lower overall life-expectancy in the future," of being overweight. Obesity-related deaths now are the second leading cause of preventable disease, behind tobacco. The drastic rise in childhood obesity rates is so pronounced that it may lower overall life-expectancy in the future. Among other problems",2,2
308325057135048640535111913277961703130,What is a state of health and well-being?,Physical fitness,"Physical fitness is a state of health and well-being and, more specifically, the ability to perform aspects of sports, occupations and daily activities. Physical fitness is generally achieved through proper nutrition, moderate-vigorous physical exercise, a",1,1
158711223862618260025988155870198763842,What is another name for the trap bar?,hex bar, is level with the bar. The bar can be flipped over to make either pair more accessible. This gives a choice of two different grip heights with which to begin the lift. The trap bar (also referred to as the hex bar) is an implement used in weight training.,1,1
209100508428368736064672136506958624712,How many sets of 20 push-ups do you do each day?,3,"y 5-7[] Do a 2-4-8-16-32-16-8-4-2 push-up pyramid. Rest as needed in between sets. i.e. do 2 push-ups, rest, do 4 push-ups, rest, ... etc. Warmup: do 5 burpees Cooldown: do 8 situps or crunches Week #3[] Day 1-3[] Do 3 sets of 20 push-ups each day, both in",1,1
20442392156192962875122752491444446698,Do you have a heart condition?,Has your doctor ever said that you have a heart condition,"ars of age, and you are not used to being very active, check with your doctor. Questions[1][] 1. Has your doctor ever said that you have a heart condition and that you should only do physical activity recommended by a doctor? Yes or No 2. Do you feel pain ",2,2
100289956251010515657303362726332980298,Who was Joseph Hubertus Pilates?,German physical trainer,"Joseph Hubertus Pilates (December 9, 1883 - October 9, 1967) was a German physical trainer, notable for having invented and promoted the Pilates method of physical fitness.",1,1
205424156878720975612495855028214544851,What do you need to do if you want to succeed?,,tepper to warm up for a minimum of three minutes. This allows more blood to flow to your knees and is also a great way to get in state for what's ahead of you. Leg day requires a certain dedication to really be successful. Just know that if you push yourse,1,1
