qa_id,question,answer,context,is_question_valid,is_answer_correct
184748306957220862105878678335792853543,Who is the athlete that trains in The Olympic Arena?,,The Olympic Arena during the competitionGeorgia-Mae Fenton (GBR) in podium trainingAna Perez Campos (ESP) in podium trainingClaudia Fragapane (GBR) in podium trainingAlice Kinsella (GBR) in podium trainingAmy Tinkler (GBR) in podium trainingAna Derek (CRO),1,2
233077801460669320594547069950441379581,Where was the 2017 WOGA Classic held?,"Dr. Pepper Arena in Frisco, Texas","The 2017 WOGA Classic was held at the Dr. Pepper Arena in Frisco, Texas on February 17-19. Gymnasts from the USA, New Zealand, Japan, Hungary, Russia, China, and Canada were invited to compete. Contents 1 List of Competitors 1.1 Seniors 1.2 Juniors 2 Resul",1,1
112717226518357703059108875729174001731,Who won the Longines Prize for Elegance?,,"m left): Ellie Black (CAN), Morgan Hurd (USA), Elena Eremina (RUS)Longines Prize for Elegance Winners (from left): Shirai Kenzo (JPN), Brooklyn Moors (CAN)Giulia Steingruber (SUI) in the vault finalShallon Olsen (CAN) in the vault finalMaria Paseka (RUS) i",1,1
20755090707813093625997331365202030916,Who is the Canadian Elizabeth Cimachowicz?,,gium Cato Fleurackers Margo van Linden Flen Vandeberg Canada Elizabeth Cimachowicz Gabrielle Deslauriers Chelsea Murry Imogen Paterson China Wu Yanhui New Zealand Stella Ashcroft Josephine Chao Russia Ksenia Klimenko Angelina Simakova USA Irina Alexeeva - ,1,1
6377762776767153580527637102066461977,"What is the term for ""burnout""?",," burnout"". This article is a stub. You can help Gymnastics Wiki by expanding it.",1,1
243829309144654349871826829897895370958,Where did she place with her team?,sixth,"ound. 2013[] Veiga competed at the Stella Zakharova Cup, winning bronze on floor exercise. She returned to the Dityatin Cup, winning gold on balance beam, silver in the all-around, bronze on vault and floor, placed fourth on bars, and sixth with her team. ",1,1
299136244150203699189748967308571304002,What was the title of the junior career?,,ish squad. Contents 1 Junior Career 2 Senior Career 2.1 2013 2.2 2014 2.3 2015 2.4 2017 2.5 2018 3 Medal Count 4 Floor Music 5,1,2
106610902402310054538124210958566291648,Where were the Summer Olympics held in 1968?,"Mexico City, Mexico","The 1968 Summer Olympics, officially known as the Games of the XIX Olympiad, were an international multi-sport event held in Mexico City, Mexico, in October 1968. These were the first Olympic Games to be staged in Latin America, the first to be staged in a",1,1
225408818012564108935721953954014865294,In what event was the uneven bars final held?,, Russian ChampionshipsSosnitskaya in the floor exercise final at the 2015 Russian ChampionshipsSosnitskaya in the team final at the 2015 Russian CupSosnitskaya in the all-around at the 2015 Russian CupSosnitskaya in the uneven bars final at the 2015 Russia,1,1
77540499812591466856603390406537636021,What was the name of the competition?,The 2014 Magyar Grand Prix,"The 2014 Magyar Grand Prix was held from September 13-14 in Szombathely, Hungary. Gymnasts from Hungary, Croatia, Slovakia, Egypt, Iceland, Austria, Slovenia, and Israel competed. Contents 1 Format of Competition 2 Results 3 Medal Count 4 External Links Fo",1,1
294663430582800712373353873380580188711,When was the balance beam final?,2013 European Championships,ations at the 2013 European ChampionshipsBulimar in the all-around at the 2013 European ChampionshipsBulimar in the balance beam final at the 2013 European ChampionshipsBulimar (left) with her European Balance Beam silver medalBulimar in the floor exercise,1,1
95438131234963455919779557534212734668,What is the name of the person who wrote the book?,,ch,2,2
151508737636942441602413727614425389557,What is Fan Yi Lin's pinyin name?,Fan Yilin,"Fan Yilin (Chinese: Fan Yi Lin ; pinyin: Fan Yilin; born November 11 in Taizhou, Zhejiang) is an elite Chinese gymnast. She's a two-time Olympian, having competed in 2016 Rio de Janeiro and 2020 Tokyo. She was a member of the silver medal winning Chinese t",1,1
122602655047313552861528272615886058810,What was the 2015 Junior U.S. National ChampionshipsHurd on day two of?,,he 2015 Junior U.S. National ChampionshipsHurd on day two of the 2015 Junior U.S. National ChampionshipsHurd at the 2016 U.S. ClassicHurd on day one of the 2016 U.S. National ChampionshipsHurd on day two of the 2016 U.S. National ChampionshipsHurd on day o,1,2
265069231283505328131724479508947789697,How many teams participated in the all-around competition?,twenty-four,"irst competition to take place, and also served as the team final. The results of this competition determined which teams and individuals participated in the remaining competitions, which included: The all-around competition, in which only the twenty-four ",1,1
16947576169565242325900890311530724102,What are some of the questions that arise from the question of what?,,s,2,2
99381229887879733745664931570238782954,Who won a silver medal on the uneven bars?,Anastasiya Ilyankova,"sent Russia at the Junior European Championships, where she won the gold medal with her team. She also received the silver medal on the uneven bars behind her compatriot Anastasiya Ilyankova and received bronze on the floor exercise. Senior Career[] 2017[]",1,1
97386344573631558698216654341635399104,Who won the all-around competition?,Nina Bocharova,"arned her the gold medal in the all-around competition, finishing ahead of team-mate Nina Bocharova by eight tenths of a point. With seven of the eight Soviet gymnasts finishing in the top ten, it was clear that the team gold medal would go to them. Gorokh",2,2
33565217113927380324375154220744377346,What is the D for?,difficulty,"d The D-Score The new system consists of two numbers, a D-score and an E-score. The D is for difficulty, which is the start value of the routine. It's calculated from the value of each skill performed plus five tenths for every requirement on each apparatu",1,1
292366986334896566002467605297597205962,When did the Olympic Games take place in the 2024?,,alifications at the 2022 World ChampionshipsLee in the all-around at the 2022 World ChampionshipsLee at the 2023 World ChampionshipsLee at the 2024 Olympic Games,2,1
247003086791249527581738326574232566359,What does each skill in the Code of Points have a value for?,,"ent on each apparatus, and connection bonus. Each skill in the Code of Points has a value: from A to H on bars and beam, or A to J on floor exercise, which corresponds to how many tenths they're worth. A = 0.1 B = 0.2 C = 0.3 D = 0.4 E = 0.5 F = 0.6 G = 0.",1,2
121137560837428127549442069876349742490,What would be the top acrobatic elements?,full twisting double layout - H full twisting double tuck - E double tuck,split leap with full turn (C) Dance element: Johnson with half turn (C) Third pass: front layout (B) + double tuck (D) [CV 0.1; 0.2 D+ dismount] The top acrobatic elements would be: full twisting double layout - H full twisting double tuck - E double tuck ,1,1
22447880288840628907167723303042096285,What is the name of the person in qualifications in the United States?,,er (USA) in qualificationsMadison Kocian (USA) in qualificationsKyla Ross (USA) in qualificationsAlyssa Baumann (USA) in qualificationsEmma Larsson (SWE) in qualificationsSimone Biles (USA) in qualificationsAshton Locklear (USA) in qualificationsNoemi Makr,1,1
59995347879072619425759884900769167466,How many appearances did Brazil have in 2023?,32,"pearances: 5 (1994, 2003, 2015, 2018, 2019) Brazil[] First appearance: 1966 Most recent appearance: 2023 Total appearances: 32 (1966, 1978, 1979, 1981, 1983, 1985, 1987, 1989, 1991, 1993, 1994, 1995, 1997, 1999, 2001, 2002, 2003, 2005, 2006, 2007, 2009, 20",2,2
176153238420756631215417302647995955488,What year was the Tokyo Olympics held?,2023,ty and competing for their gymnastics team. Contents 1 Junior Career 1.1 2016 1.2 2017 1.3 2018 1.4 2019 1.5 2020 1.6 2021 1.6.1 Tokyo Olympics 1.7 2023 1.8 2024 1.8.1 Paris Olympics 2 Medal Count 3 Floor Music 4,2,2
103747245856887870980313968073287312249,How many gymnasts were allowed to compete in each apparatus final?,two,hest scoring individuals on each apparatus competed. Each country was limited to two gymnasts in each apparatus final. Competition Schedule[] Results[] Seniors[] Juniors[] Medal Count[],1,1
106687299971635308948094480107190634701,What is the Russian name of Oksana Aleksandrovna Chusovitina?,,"Oksana Aleksandrovna Chusovitina (Russian: Oksana Aleksandrovna Chusovitina; born June 19, 1975 in Bukhara, Uzbek SSR, USSR) is an Uzbek two-time Olympic medalist and World Champion gymnast. She was formerly a citizen of, and a competitor for, the Soviet U",1,2
