qa_id,question,answer,context,is_question_valid,is_answer_correct
56462704472202815101338713246566563337,What is the name of the self-defense technique that incorporates various types of weapons and movements?,Silambam,"Silambam martial art is one of the oldest self-defensive techniques in the World! Initially developed in India subcontinent, Silambam incorporates various types of weapons and methods of movement training. Considering its rise over the last couple of years",1,1
36631775360347162015904304656091748892,What is the most common event in Wushu?,Individual Taolu,". The Taolu is compete with different kinds of collections, the most common event in Wushu is Individual Taolu, Duel-Events (Duilian) and Group Events (Jiti). In Taolu, the practitioner wears a traditional Chinese Tang-Style uniform with long trousers that",1,1
173311944741398130183128298356131404650,How long does it usually take for Tinku participants to stop?,two to three days,"er between the separate communities. Tinkus usually last two to three days. During this time, participants will stop every now and then to eat, sleep, or drink. Groups who participate[] Tinkus occur ""between different communities, moieties, or kin groups"".",1,1
161246833459702264982588426695505805707,What do the training methods allow the student to do?,"progress through increasing difficulty in form sequences, timing and fighting strategy","movements and fighting behavior of a variety of animals. The training methods allow the student to progress through increasing difficulty in form sequences, timing and fighting strategy. The internal aspects of Xingyiquan are similar to, yet distinct from,",1,1
106459748687652356233515073245676704459,What does Xin Yi Quan mean?,Form-Intention Fist,", yet distinct from, those of Baguazhang and Tai chi chuan. Xin Yi Quan (""Form-Intention Fist"") is a traditional style originally developed from the Spear techniques in the ancient chinese army. The Five Elements[]",1,1
168662749558595487782605845701973625826,Who is the main character of Hong Kong Phooey?,"Penrod ""Penry"" Pooch","show was brought back in reruns in 1978 and 1981, and was included in the USA Network's Cartoon Express block throughout the 1980s.[2] The main character, Hong Kong Phooey, is the clownishly clumsy secret identity of Penrod ""Penry"" Pooch, working at a poli",1,1
224189018833847325687627882993923548151,What are traditional weapons used for?,training devices for reaching optimal control of body and mind,"traditional weapons like the long stick, short stick, knife, sword and sabre. Thereby the weapons serve as training devices for reaching optimal control of body and mind.",1,1
296557354777248434480156897010601147905,What is the focus of P.H.K.D.?,,"on sense. It incorporates the latest advancements in physiological and scientific research, knowledge and was made for real situations. P.H.K.D. retains many traditional H.K.D. breathing exercises control techniques, which are vital to focusing and conserv",1,2
61718003943257362652757660952017620629,What type of movements do the dancers perform?,combat like,"es. The dancers perform with combat like movements, following the heavy beat of the drum. Costumes[] For men, the costumes are more colorful. Their monteras are usually decorated with long colorful feathers. Tinku Suits, or the outfits men wear during Fest",1,1
89739554060426068874007980561594011804,What are the major principles of Hap-Ki-Do?,"balance, speed, and leverage","s tactics using the major principles of balance, speed, and leverage to overcome an opponent's perhaps superior force. Students will gain knowledge of the history and techniques of traditional Hap-Ki-Do. Knowing the art's past history and try to improve up",1,1
